Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio 1.2 Campus Pack I 75cv	2020-12-22	$	600000	2012	Gris	Nafta	3	Manual	1.2	Hatchback	56000	MLA901952153	car_dealer	5_green	Renault	Clio	Capital Federal	Capital Federal	Palermo
Renault Clio 1.2 Authentique Pack I 75cv	2020-12-16	$	490000	2011	Plateado	Nafta	3	Manual	1.2	Hatchback	94000	MLA901285165	car_dealer	5_green	Renault	Clio	Bs.As. G.B.A. Norte	Vicente López	Munro
Renault Clio 1.2 Mío Authentique Pack	2020-12-22	$	579900	2013	Gris	Nafta	5	Manual	1.2	Hatchback	48000	MLA902004835	car_dealer	5_green	Renault	Clio	Capital Federal	Capital Federal	Colegiales
Renault Clio 1.2 Mío Authentique Pack	2020-11-27	$	690000	2015	Gris	Nafta	5	Manual	1.2	Hatchback	45600								
Renault Clio 1.2 Mio Confort Pack	2020-11-24	$	720000	2016	Negro	Nafta	3	Manual	1.2	Hatchback	66000	MLA898614584	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Oeste	Castelar	none
Renault Clio 1.2 Pack Plus	2020-11-30	$	600000	2011	Rojo	Nafta	3	Manual	1.2	Hatchback	56000	MLA899452912	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Morón	Morón
Renault Clio 1.2 Athentique Aa	2020-12-15	$	340000	2006	Gris	Nafta	5	Manual	1.2	Hatchback	110000	MLA901183493	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	Ciudad Evita
Renault Clio 1.2 Pack Plus	2020-11-14	$	470000	2011	Negro	Nafta	3	Manual	1.2	Hatchback	140000	MLA897200076	car_dealer	none	Renault	Clio	Capital Federal	Capital Federal	Villa Devoto
Renault Clio 1.2 Pack Plus	2020-09-14	$	415000	2008	Negro	Nafta	5	Manual	1.2	Hatchback	118000	MLA899452700	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	none
Renault Clio 1.2 Mio Confort Plus Abc	2020-04-12	$	540000	2013	Gris	Nafta	3	Manual	1.2	Hatchback	78300	MLA899926027	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Confort Pack	2020-05-12	$	720000	2016	Negro	Nafta	3	Manual	1.2	Hatchback	52000	MLA900036970	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	General San Martín	none
Renault Clio 1.9 Rnd Dh Aa Pk	2020-12-14	$	290000	1999		Diésel	3	Manual	1.9	Hatchback	156749	MLA901008879	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lomas de Zamora	none
Renault Clio 1.2 F2 Yahoo Authe.	2020-12-14	$	345000	2005	Gris	Nafta	3	Manual	1.2	Hatchback	124000	MLA901089915	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Avellaneda	Wilde
Renault Clio 1.2 Campus 75cv	2020-03-12	$	540000	2012	Azul	Nafta	3	Manual	1.2	Hatchback	62500	MLA899815682	normal	none	Renault	Clio	Capital Federal	Capital Federal	Villa Crespo
Renault Clio 1.2 Mío Authentique	2020-11-30	$	465000	2013		Nafta	5	Manual	1.2	Hatchback	135000	MLA899365853	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Miguel	none
Renault Clio 1.2 Mio Confort Abs Abcp	2020-08-29	$	680000	2015		Nafta	3	Manual	1.2	Hatchback	58000	MLA898142530	normal	none	Renault	Clio	Neuquén	Neuquén	none
Renault Clio 1.6 Athent. Aa Gnc	2020-04-12	$	220000	2003		Nafta	4	Manual	1.6	Sedán	200000	MLA899962611	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mío Expression Pack I	2020-11-30	$	630000	2013	Blanco	Nafta	5	Manual	1.2	Hatchback	145000	MLA899429347	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Ituzaingó	Parque Leloir
Renault Clio 1.2 Mio Confort Plus Abc	2020-03-12	$	620000	2014	Gris	Nafta	5	Manual	1.2	Hatchback	70000	MLA899887145	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	Ciudad Madero
