Desc	Publish Date	Currency	Price	Año	Color	Tipo de combustible	Puertas	Transmisión	Motor	Tipo de carrocería	Kilómetros	Codigo	Seller Type	Reputation Code	Brand	Model	Loc1	Loc2	Loc3
Renault Clio 1.2 Campus Pack I 75cv	22/12/2020	$	 600.000 	2012	Gris	Nafta	3	Manual	1.2	Hatchback	 56.000 	MLA901952153	car_dealer	5_green	Renault	Clio	Capital Federal	Capital Federal	Palermo
Renault Clio 1.2 Authentique Pack I 75cv	16/12/2020	$	 490.000 	2011	Plateado	Nafta	3	Manual	1.2	Hatchback	 94.000 	MLA901285165	car_dealer	5_green	Renault	Clio	Bs.As. G.B.A. Norte	Vicente López	Munro
Renault Clio 1.2 Mío Authentique Pack	22/12/2020	$	 579.900 	2013	Gris	Nafta	5	Manual	1.2	Hatchback	 48.000 	MLA902004835	car_dealer	5_green	Renault	Clio	Capital Federal	Capital Federal	Colegiales
Renault Clio 1.2 Mío Authentique Pack	27/11/2020	$	 690.000 	2015	Gris	Nafta	5	Manual	1.2	Hatchback	 45.600 								
Renault Clio 1.2 Mio Confort Pack	24/11/2020	$	 720.000 	2016	Negro	Nafta	3	Manual	1.2	Hatchback	 66.000 	MLA898614584	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Oeste	Castelar	none
Renault Clio 1.2 Pack Plus	30/11/2020	$	 600.000 	2011	Rojo	Nafta	3	Manual	1.2	Hatchback	 56.000 	MLA899452912	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Morón	Morón
Renault Clio 1.2 Athentique Aa	15/12/2020	$	 340.000 	2006	Gris	Nafta	5	Manual	1.2	Hatchback	 110.000 	MLA901183493	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	Ciudad Evita
Renault Clio 1.2 Pack Plus	14/11/2020	$	 470.000 	2011	Negro	Nafta	3	Manual	1.2	Hatchback	 140.000 	MLA897200076	car_dealer	none	Renault	Clio	Capital Federal	Capital Federal	Villa Devoto
Renault Clio 1.2 Pack Plus	14/9/2020	$	 415.000 	2008	Negro	Nafta	5	Manual	1.2	Hatchback	 118.000 	MLA899452700	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	none
Renault Clio 1.2 Mio Confort Plus Abc	12/4/2020	$	 540.000 	2013	Gris	Nafta	3	Manual	1.2	Hatchback	 78.300 	MLA899926027	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Confort Pack	12/5/2020	$	 720.000 	2016	Negro	Nafta	3	Manual	1.2	Hatchback	 52.000 	MLA900036970	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	General San Martín	none
Renault Clio 1.9 Rnd Dh Aa Pk	14/12/2020	$	 290.000 	1999		Diésel	3	Manual	1.9	Hatchback	 156.749 	MLA901008879	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lomas de Zamora	none
Renault Clio 1.2 F2 Yahoo Authe.	14/12/2020	$	 345.000 	2005	Gris	Nafta	3	Manual	1.2	Hatchback	 124.000 	MLA901089915	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Avellaneda	Wilde
Renault Clio 1.2 Campus 75cv	12/3/2020	$	 540.000 	2012	Azul	Nafta	3	Manual	1.2	Hatchback	 62.500 	MLA899815682	normal	none	Renault	Clio	Capital Federal	Capital Federal	Villa Crespo
Renault Clio 1.2 Mío Authentique	30/11/2020	$	 465.000 	2013		Nafta	5	Manual	1.2	Hatchback	 135.000 	MLA899365853	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Miguel	none
Renault Clio 1.2 Mio Confort Abs Abcp	29/8/2020	$	 680.000 	2015		Nafta	3	Manual	1.2	Hatchback	 58.000 	MLA898142530	normal	none	Renault	Clio	Neuquén	Neuquén	none
Renault Clio 1.6 Athent. Aa Gnc	12/4/2020	$	 220.000 	2003		Nafta	4	Manual	1.6	Sedán	 200.000 	MLA899962611	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mío Expression Pack I	30/11/2020	$	 630.000 	2013	Blanco	Nafta	5	Manual	1.2	Hatchback	 145.000 	MLA899429347	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Ituzaingó	Parque Leloir
Renault Clio 1.2 Mio Confort Plus Abc	12/3/2020	$	 620.000 	2014	Gris	Nafta	5	Manual	1.2	Hatchback	 70.000 	MLA899887145	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	Ciudad Madero
Renault Clio 1.2 Mío Expression Pack I	12/9/2020	$	 570.000 	2013		Nafta	5	Manual	1.2	Hatchback	 90.000 	MLA900413110	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Confort Abs Abcp	20/11/2020	$	 650.000 	2015	Plateado	Nafta	3	Manual	1.2	Hatchback	 70.600 	MLA898080924	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Sur	Avellaneda	Avellaneda
Renault Clio 1.2 Mio Confort Plus Abs Abcp	19/7/2020	$	 690.000 	2014	Negro	Nafta	5	Manual	1.2	Hatchback	 80.000 	MLA869030733	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Sur	Avellaneda	none
Renault Clio 1.2 Mio Confort Pack	21/12/2020	$	 649.900 	2016		Nafta	5	Manual	1.2	Hatchback	 168.000 	MLA901863784	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Florencio Varela	Florencio Varela
Renault Clio 1.2 Mío Authentique Pack Look	15/12/2020	$	 570.000 	2013	Negro	Nafta	5	Manual	1.2	Hatchback	 80.000 	MLA901209380	normal	none	Renault	Clio	Capital Federal	Capital Federal	Villa Devoto
Renault Clio 1.2 Authentique 75cv	6/2/2020	$	 459.000 	2011	Plateado	Nafta	3	Manual	1.2	Hatchback	 112.000 	MLA880519863	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Norte	Pilar	Del Viso
Renault Clio 1.2 Mío Expression Pack I	16/12/2020	$	 550.000 	2013		Nafta	5	Manual	1.2	Hatchback	 132.000 	MLA901258279	normal	none	Renault	Clio	Buenos Aires Interior	Pilar	none
Renault Clio 1.2 Mio Confort Plus Abc	17/12/2020	U$S	 4.900 	2015	Gris	Nafta	5	Manual	1.2	Hatchback	 62.000 	MLA901392006	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	El Talar de Pacheco
Renault Clio 1.2 Mio Confort Abs Abcp	12/8/2020	$	 650.000 	2015	Negro	Nafta	3	Manual	1.2	Hatchback	 67.000 								
Renault Clio 1.2 Mio Confort Abs Abcp	12/2/2020	$	 650.000 	2015	Negro	Nafta	3	Manual	1.2	Hatchback	 66.000 	MLA899662591	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Norte	San Isidro	Martínez
Renault Clio 1.2 Mio Dynamique	12/11/2020	$	 840.000 	2016	Blanco	Nafta	5	Manual	1.2	Hatchback	 32.886 	MLA900670709	normal	none	Renault	Clio	Córdoba	San Francisco	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	19/12/2020	U$S	 4.300 	2014	Gris	Nafta	5	Manual	1.2	Hatchback	 80.000 	MLA901701110	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	El Talar de Pacheco
Renault Clio 1.2 Mio Work	12/1/2020	$	 650.000 	2016	Blanco	Nafta	3	Manual	1.2	Hatchback	 52.000 	MLA899582038	normal	none	Renault	Clio	Buenos Aires Interior	Chascomús	Chascomús
Renault Clio 1.2 Pack	18/12/2020	$	 580.000 	2011		Nafta	5	Manual	1.2	Hatchback	 70.500 	MLA901632432	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Vicente López	none
Renault Clio 1.2 Campus Pack Ii 75cv	21/12/2020	$	 503.000 	2012		Nafta	3	Manual	1.2	Hatchback	 117.000 	MLA901861591	normal	none	Renault	Clio	Salta	Salta	none
Renault Clio 1.2 Pack	29/8/2020	$	 515.000 	2011	Negro	Nafta	5	Manual	1.2	Hatchback	 150.000 								
Renault Clio 1.2 Mio Confort Plus Abs Abcp	18/12/2020	$	 699.900 	2015	Gris	Nafta	3	Manual	1.2	Hatchback	 36.000 	MLA901588758	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Floresta
Renault Clio 1.2 Pack Plus	15/12/2020	$	 450.000 	2010	Negro	Nafta	5	Manual	1.2	Hatchback	 154.000 	MLA901190999	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	San Isidro	Boulogne Sur Mer
Renault Clio 1.2 Campus Pack I 75cv	12/8/2020	$	 480.000 	2012		Nafta	3	Manual	1.2	Hatchback	 59.000 	MLA900312453	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	General San Martín	none
Renault Clio 1.2 Mio Confort Plus Abc	21/12/2020	$	 595.000 	2014	Blanco	Nafta	5	Manual	1.2	Hatchback	 129.200 	MLA901832319	normal	none	Renault	Clio	Buenos Aires Interior	San Andrés de Giles	none
Renault Clio 1.2 Pack Plus	21/12/2020	$	 431.000 	2011	Plateado	Nafta	5	Manual	1.2	Hatchback	 94.000 	MLA901844638	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Pilar	Pilar
Renault Clio 1.2 Mío Authentique Pack Look	12/7/2020	$	 585.000 	2013		Nafta	5	Manual	1.2	Hatchback	 84.000 	MLA900222271	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	none
Renault Clio 1.2 Authentique Pack Ii 75cv	12/12/2020	$	 584.155 	2012	Negro	Nafta	3	Manual	1.2	Hatchback	 121.000 	MLA900811332	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Escobar	Ingeniero Maschwitz
Renault Clio 1.2 Pack Plus	23/12/2020	$	 485.000 	2010	Rojo	Nafta	3	Manual	1.2	Hatchback	 119.000 	MLA902124021	normal	none	Renault	Clio	Capital Federal	Capital Federal	Caballito
Renault Clio 1.2 Mío Expression Pack I	18/11/2020	$	 650.000 	2013	Negro	Nafta	5	Manual	1.2	Hatchback	 67.000 	MLA897727487	normal	none	Renault	Clio	Capital Federal	Capital Federal	Palermo
Renault Clio 1.2 Mio Confort Plus Abc	26/11/2020	$	 718.000 	2015	Gris	Nafta	5	Manual	1.2	Hatchback	 62.000 	MLA901391988	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	El Talar de Pacheco
Renault Clio 1.2 Mio Confort Plus Abc	17/12/2020	$	 670.000 	2014	Gris	Nafta	3	Manual	1.2	Hatchback	 48.000 	MLA901485556	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Villa Devoto
Renault Clio 1.2 Mio Confort Plus Abs Abcp	19/12/2020	$	 638.000 	2014	Gris	Nafta	5	Manual	1.2	Hatchback	 80.000 	MLA901699202	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	El Talar de Pacheco
Renault Clio 1.2 Pack Plus	15/12/2020	$	 540.000 	2011	Dorado	Nafta	3	Manual	1.2	Hatchback	 74.200 	MLA901148220	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	San Justo
Renault Clio 1.2 Authentique Pack	12/2/2020	$	 380.000 	2006	Gris	Nafta	5	Manual	1.2	Hatchback	 145.000 								
Renault Clio Clio Mio 5p Dynamiqe	14/12/2020	$	 680.000 	2015		Nafta	5				 50.000 	MLA901089931	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Morón	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	22/12/2020	$	 615.000 	2014		Nafta	5	Manual	1.2	Hatchback	 130.000 	MLA901948326	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	La Plata	none
Renault Clio 1.2 Mío Authentique Pack Abs Abcp	11/12/2020	$	 670.000 	2015		Nafta	5	Manual	1.2	Hatchback	 46.000 								
Renault Clio 1.2 Authentique Pack I 75cv	12/3/2020	$	 500.000 	2012		Nafta	3	Manual	1.2	Hatchback	 86.000 	MLA899795828	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Tres de febrero	none
Renault Clio 1.2 Mio Confort Plus Abs Abcp	19/12/2020	$	 630.000 	2014		Nafta	5	Manual	1.2	Hatchback	 57.000 	MLA901692748	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Confort Abs Abcp	22/12/2020	$	 650.000 	2014	Blanco	Nafta	5	Manual	1.2	Hatchback	 77.500 	MLA901992049	normal	4_light_green	Renault	Clio	Bs.As. G.B.A. Sur	Lanús	Lanús Oeste
Renault Clio 1.2 Pack Plus	18/12/2020	$	 414.000 	2007		Nafta	5	Manual	1.2	Hatchback	 210.000 	MLA901517767	normal	none	Renault	Clio	Córdoba	Córdoba	none
Renault Clio 1.2 Mío Authentique Pack	11/6/2020	$	 659.900 	2015	Negro	Nafta	5	Manual	1.2	Hatchback	 56.000 	MLA896053224	car_dealer	4_light_green	Renault	Clio	Capital Federal	Capital Federal	Chacarita
Renault Clio 1.2 Pack Plus	18/12/2020	$	 440.000 	2007		Nafta	5	Manual	1.2	Hatchback	 120.000 	MLA901521202	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Almirante Brown	none
Renault Clio 1.6 Sport	20/12/2020	$	 700.000 	2001		Nafta	3	Manual	1.6	Hatchback	 67.000 	MLA901762049	normal	none	Renault	Clio	Córdoba	Villa Carlos Paz	none
Renault Clio 1.2 Pack Plus	27/11/2020	$	 520.000 	2011		Nafta	3	Manual	1.2	Hatchback	 73.250 	MLA899095083	normal	none	Renault	Clio	Bs.As. G.B.A. Oeste	Tres de febrero	none
Renault Clio 1.2 Mio Confort Pack	16/12/2020	$	 719.000 	2016	Negro	Nafta	3	Manual	1.2	Hatchback	 66.000 	MLA901262914	car_dealer	4_light_green	Renault	Clio	Bs.As. G.B.A. Oeste	Castelar	none
Renault Clio 1.2 Pack Plus	14/12/2020	$	 510.000 	2008	Gris	Nafta	5	Manual	1.2	Hatchback	 81.700 	MLA901028518	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lomas de Zamora	Banfield
Renault Clio 1.5 Dci Tric Pack Da+aa	27/10/2020	$	 470.000 	2008		Diésel	4	Manual	1.5	Sedán	 250.000 	MLA885674675	normal	5_green	Renault	Clio	Bs.As. G.B.A. Sur	Quilmes	none
Renault Clio 1.2 Gt Line. Vea El Video!!!	14/11/2020	$	 619.000 	2014	Rojo	Nafta	5	Manual	1.2		 91.000 	MLA897177825	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Norte	Escobar	Ingeniero Maschwitz
Renault Clio Full	17/12/2020	$	 520.000 	2000		Nafta	4				 104.000 	MLA901424443	normal	none	Renault	Clio	Bs.As. G.B.A. Norte	Tigre	none
Renault Clio 1.2 Mio Confort Pack	18/12/2020	$	 760.000 	2016	Negro	Nafta	3	Manual	1.2	Hatchback	 89.000 	MLA901567872	car_dealer	4_light_green	Renault	Clio	Córdoba	Córdoba	San Martín
Renault Clio 1.2 Mio Confort Plus Abc	18/12/2020	$	 599.000 	2014	Gris	Nafta	5	Manual	1.2	Hatchback	 40.000 	MLA901548343	car_dealer	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mio Dynamique	16/12/2020	$	 680.000 	2016	Blanco	Nafta	3	Manual	1.2	Hatchback	 46.000 	MLA901314515	car_dealer	none	Renault	Clio	Capital Federal	Capital Federal	Monserrat
Renault Clio 1.2 Mío Authentique Pack Look	11/9/2020	$	 650.000 	2014	Negro	Nafta	5	Manual	1.2	Hatchback	 54.000 	MLA899680895	car_dealer	none	Renault	Clio	Bs.As. G.B.A. Oeste	La Matanza	Lomas del Mirador
Renault Clio 1.9 Rnd Dh Aa Pk	22/12/2020	$	 200.000 	2000		Diésel	3	Manual	1.9	Hatchback	 218.000 	MLA902032860	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	La Plata	none
Renault Clio Clio Mio Dynamique 	20/12/2020	$	 690.000 	2015		Nafta	5				 49.500 	MLA901789363	normal	none	Renault	Clio	Capital Federal	Capital Federal	none
Renault Clio 1.2 Mío Authentique Pack Look	12/2/2020	$	 680.000 	2014		Nafta	5	Manual	1.2	Hatchback	 85.000 								
Renault Clio 1.2 Pack Plus	8/4/2017	$	 498.800 	2011	Negro	Nafta	3	Manual	1.2	Hatchback	 112.000 	MLA898397414	normal	none	Renault	Clio	Bs.As. G.B.A. Sur	Lanús	Lanús Oeste
